registered_company_name,website,mom_brand_url,public_profile_url
LINFINI - LA SERVIETTE FRANÇAISE,https://www.laserviettefrancaise.com,https://mom.maison-objet.com/en/brand/25373/linfini-la-serviette-francaise,https://www.maison-objet.com/en/paris/exhibitors/linfini-la-serviette-francaise-cook-share
COCKTAILITO,http://cocktailito.fr,https://mom.maison-objet.com/en/brand/25371/cocktailito,https://www.maison-objet.com/en/paris/exhibitors/cocktailito-cook-share
VOLCA PARIS,,https://mom.maison-objet.com/en/brand/25365/volca-paris,https://www.maison-objet.com/en/paris/exhibitors/volca-paris-cook-share
PORTER GREEN,http://www.arcuccitrade.it,https://mom.maison-objet.com/en/brand/20538/porter-green,https://www.maison-objet.com/en/paris/exhibitors/porter-green-cook-share
SCOBYBABY,https://www.scobybaby.com/,https://mom.maison-objet.com/en/brand/25357/scobybaby,https://www.maison-objet.com/en/paris/exhibitors/scobybaby-cook-share
SILLY CAT CREATIONS,https://sillycatcreations.fr/,https://mom.maison-objet.com/en/brand/25351/silly-cat-creations,https://www.maison-objet.com/en/paris/exhibitors/silly-cat-creations-cook-share
LA COCOTTE FRANCAISE,,https://mom.maison-objet.com/en/brand/25346/la-cocotte-francaise,https://www.maison-objet.com/en/paris/exhibitors/la-cocotte-francaise-cook-share
STONEAGE,,https://mom.maison-objet.com/en/brand/25304/stoneage,https://www.maison-objet.com/en/paris/exhibitors/stoneage-cook-share
L'ATELIER ROSIE,http://www.latelierrosie.fr,https://mom.maison-objet.com/en/brand/25290/l-atelier-rosie,https://www.maison-objet.com/en/paris/exhibitors/l-atelier-rosie-cook-share
NOBSOLETE,https://www.nobsolete.com/,https://mom.maison-objet.com/en/brand/25247/nobsolete,https://www.maison-objet.com/en/paris/exhibitors/nobsolete-cook-share
PLUSMINUS3,https://plusminus3.art/,https://mom.maison-objet.com/en/brand/25242/plusminus3,https://www.maison-objet.com/en/paris/exhibitors/plusminus3-cook-share
L'ELIXIR DE PARIS,https://lelixirdeparis.com/,https://mom.maison-objet.com/en/brand/25115/l-elixir-de-paris,https://www.maison-objet.com/en/paris/exhibitors/l-elixir-de-paris-cook-share
CHEFINOV SAS,https://www.chefinov.com/,https://mom.maison-objet.com/en/brand/25230/chefinov-multidouille,https://www.maison-objet.com/en/paris/exhibitors/chefinov-sas-cook-share
JACK MEAL,http://jackmeal.com,https://mom.maison-objet.com/en/brand/25220/jack-meal,https://www.maison-objet.com/en/paris/exhibitors/jack-meal-cook-share
